iter	Passed	Remaining
1108	426	150
1109	426	149
1110	426	149
1111	426	148
1112	427	148
1113	427	148
1114	427	147
1115	427	147
1116	427	146
1117	428	146
1118	428	145
1119	428	145
1120	428	144
1121	429	144
1122	429	144
1123	429	143
1124	430	143
1125	430	142
1126	430	142
1127	430	141
1128	430	141
1129	430	141
1130	431	140
1131	431	140
1132	431	139
1133	431	139
1134	432	138
1135	432	138
1136	432	138
1137	432	137
1138	432	137
1139	433	136
1140	433	136
1141	433	135
1142	433	135
1143	433	134
1144	434	134
1145	434	134
1146	434	133
1147	435	133
1148	435	132
1149	435	132
1150	435	132
1151	435	131
1152	436	131
1153	436	130
1154	436	130
1155	436	129
1156	436	129
1157	437	129
1158	437	128
1159	437	128
1160	437	127
1161	437	127
1162	438	126
1163	438	126
1164	438	126
1165	438	125
1166	438	125
1167	439	124
1168	439	124
1169	439	124
1170	439	123
1171	440	123
1172	440	122
1173	440	122
1174	440	121
1175	440	121
1176	440	120
1177	441	120
1178	441	120
1179	441	119
1180	441	119
1181	442	118
1182	442	118
1183	442	118
1184	442	117
1185	443	117
1186	443	116
1187	443	116
1188	443	116
1189	443	115
1190	444	115
1191	444	114
1192	444	114
1193	444	113
1194	444	113
1195	445	113
1196	445	112
1197	445	112
1198	445	111
1199	445	111
1200	445	111
1201	446	110
1202	446	110
1203	446	109
1204	446	109
1205	446	108
1206	447	108
1207	447	108
1208	447	107
1209	447	107
1210	448	106
1211	448	106
1212	448	106
1213	448	105
1214	448	105
1215	449	104
1216	449	104
1217	449	104
1218	449	103
1219	450	103
1220	450	102
1221	450	102
1222	450	102
1223	450	101
1224	450	101
1225	451	100
1226	451	100
1227	451	100
1228	451	99
1229	451	99
1230	452	98
1231	452	98
1232	453	98
1233	453	97
1234	453	97
1235	453	96
1236	454	96
1237	454	96
1238	454	95
1239	455	95
1240	455	95
1241	456	94
1242	456	94
1243	457	94
1244	457	93
1245	458	93
1246	458	93
1247	458	92
1248	459	92
1249	459	91
1250	459	91
1251	459	91
1252	460	90
1253	461	90
1254	461	90
1255	461	89
1256	462	89
1257	462	88
1258	462	88
1259	462	88
1260	462	87
1261	463	87
1262	463	87
1263	464	86
1264	464	86
1265	464	85
1266	464	85
1267	464	85
1268	465	84
1269	465	84
1270	465	83
1271	466	83
1272	466	83
1273	466	82
1274	466	82
1275	467	81
1276	467	81
1277	467	81
1278	467	80
1279	467	80
1280	468	80
1281	469	79
1282	469	79
1283	469	79
1284	470	78
1285	470	78
1286	470	77
1287	470	77
1288	471	77
1289	471	76
1290	471	76
1291	472	76
1292	472	75
1293	472	75
1294	472	74
1295	473	74
1296	473	74
1297	473	73
1298	474	73
1299	474	73
1300	474	72
1301	475	72
1302	476	72
1303	477	71
1304	477	71
1305	477	70
1306	478	70
1307	478	70
1308	478	69
1309	479	69
1310	479	69
1311	480	68
1312	480	68
1313	480	68
1314	480	67
1315	480	67
1316	481	66
1317	481	66
1318	481	66
1319	481	65
1320	482	65
1321	482	64
1322	482	64
1323	482	64
1324	482	63
1325	483	63
1326	483	63
1327	484	62
1328	484	62
1329	484	61
1330	484	61
1331	485	61
1332	485	60
1333	485	60
1334	485	60
1335	485	59
1336	486	59
1337	486	58
1338	487	58
1339	487	58
1340	487	57
1341	487	57
1342	487	57
1343	488	56
1344	488	56
1345	489	55
1346	489	55
1347	489	55
1348	489	54
1349	489	54
1350	490	54
1351	490	53
1352	490	53
1353	490	52
1354	491	52
1355	491	52
1356	491	51
1357	491	51
1358	491	51
1359	492	50
1360	493	50
1361	493	49
1362	493	49
1363	494	49
1364	494	48
1365	494	48
1366	494	48
1367	495	47
1368	495	47
1369	495	47
1370	496	46
1371	496	46
1372	496	45
1373	496	45
1374	497	45
1375	497	44
1376	497	44
1377	497	44
1378	498	43
1379	498	43
1380	498	42
1381	498	42
1382	499	42
1383	499	41
1384	499	41
1385	499	41
1386	500	40
1387	500	40
1388	500	40
1389	501	39
1390	501	39
1391	501	38
1392	501	38
1393	501	38
1394	502	37
1395	502	37
1396	502	37
1397	503	36
1398	503	36
1399	503	35
1400	503	35
1401	503	35
1402	504	34
1403	504	34
1404	504	34
1405	504	33
1406	505	33
1407	505	33
1408	505	32
1409	505	32
1410	506	31
